id,name,year,glottocode,map_name_full,note
1,Ainu,2021,ainu1240,Fig. 1.,
2,Buryat,2021,buri1258,Fig. 1.,
3,Chukchi,2021,chuk1273,Fig. 1.,
4,Even,2021,even1260,Fig. 1.,
5,Evenki,2021,even1259,Fig. 1.,
6,Japanese,2021,nucl1643,Fig. 1.,
7,Korean,2021,kore1280,Fig. 1.,
8,Koryak,2021,kory1246,Fig. 1.,
9,Nganasan,2021,ngan1291,Fig. 1.,
10,Nivkh,2021,nivk1234,Fig. 1.,
11,Selkup,2021,selk1253,Fig. 1.,
12,West Greenlandic,2021,kala1399,Fig. 1.,
13,Yakut,2021,yaku1245,Fig. 1.,
14,Yukagir,2021,yuka1259,Fig. 1.,
